name,city,department,region,type,website,email,phone,contact_type,email_verified,last_verified,photo_url
Château de Janvry,Janvry,91,Île-de-France,château,https://www.chateaudejanvry.com,contact@chateaudejanvry.com,06 35 45 58 96,email+form,smtp_ok,2026-06-07T18:23:05.558114,
Château de Santeny,Santeny,94,Île-de-France,château,https://chateaudesanteny.fr,contact@chateaudesanteny.fr,01 43 86 60 56,email+form,smtp_unknown,2026-06-07T18:24:14.151497,"https://static.wixstatic.com/media/dcf981_fa556846d8be4dd2935fa4a746a64fdd~mv2.jpg/v1/fill/w_1280,h_567,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/dcf981_fa556846d8be4dd2935fa4a746a64fdd~mv2.jpg"
Château de Méridon,Chevreuse,78,Île-de-France,château,https://chateaudemeridon.com,contact@chateaudemeridon.fr,06 58 86 42 79,email+form,smtp_unknown,2026-06-07T18:23:48.414118,http://static1.squarespace.com/static/673e5a4a34d09329d9ec1616/t/699c5dfd9fa1313c3ab3ca6e/1771855357935/tour_%26_texteVIDE.png?format=1500w
Château Barthélemy,Paray-Douaville,78,Île-de-France,château,https://chateaubarthelemy.fr,chateau.barthelemy@gmail.com,06 85 89 19 53,email+form,mx_ok,2026-06-07T18:21:57.470188,
Château d'Hazeville,Wy-dit-Joli-Village,95,Île-de-France,château,https://hazeville.fr,contact@hazeville.fr,06 14 19 79 30,manual,smtp_unknown,2026-06-07T18:24:34.622783,https://www.hazeville.fr/wp-content/uploads/2022/11/chateau-hazeville-mariages-receptions-seminaires.jpg
Château de Champlâtreux,Épinay-Champlâtreux,95,Île-de-France,château,https://chateau-de-champlatreux.com,hello@chateau-de-champlatreux.com,06 73 87 22 48,email+form,smtp_ok,2026-06-07T18:22:41.720142,https://scontent-den2-1.cdninstagram.com/v/t51.75761-15/476242585_18296184868215064_5223510010496653211_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=fw_1LwzuQZ4Q7kNvwFs7tnJ&_nc_oc=AdoiwD4si8LXXviegApslQka9AawODdGb2q8h7NFn9WJQj_APL47Utr2tHoNcyM11ao&_nc_zt=23&_nc_ht=scontent-den2-1.cdninstagram.com&edm=ANo9K5cEAAAA&_nc_gid=gpV9mu-N4L3-ZIk7yVrryA&_nc_tpa=Q5bMBQHeCCyZsaDsE5a_QFKfk0akdA-ufjGZq5L7t-EQ0sat0MUTtCItiXT8yiGF26LBrb_zJcNHTrlS&oh=00_Af_UH00mhSUT5z3Exb5xH1nfG7WB95XH2i1uxt674-VRxQ&oe=6A2E3EA8
Château des Bondons,La Ferté-sous-Jouarre,77,Île-de-France,château,https://chateaudesbondons.com,castel@chateaudesbondons.com,01 60 22 00 98,manual,smtp_unknown,2026-06-07T18:22:12.613577,https://www.chateaudesbondons.com/media/cache/jadro_resize/rc/GtMhOF0y1751894615/jadroRoot/medias/63a982e446791/5-seminaire-disneyland.jpg
Domaine de la Vallée Aux Pages,Paray-Douaville,78,Île-de-France,domaine,https://vallee-aux-pages.com,contact@vallee-aux-pages.com,01 30 59 04 54,email+form,smtp_unknown,2026-06-07T18:26:17.239756,https://www.vallee-aux-pages.com/wp-content/uploads/MC-1.jpg?ver=1725371140
Domaine des Hirondelles,Longvilliers,78,Île-de-France,domaine,https://ledomainedeshirondelles.fr,contact@webexpire.fr,01 34 83 05 51,manual,unchecked,2026-06-07T18:25:14.898240,https://static.webexpire.fr/images/webexpire-logo-og.png
Le Domaine de Champigny,Crisenoy,77,Île-de-France,domaine,https://ledomainedechampigny.com,contact@ledomainedechampigny.com,01 64 38 89 42,email+form,smtp_unknown,2026-06-07T18:29:47.157763,https://www.ledomainedechampigny.com/images/promotion2026.jpg
